Date,SO2 µg/m3,Nox µg/m3,RSPM µg/m3,SPM,CO2 µg/m3,AQI,Location
01-01-2009 00:00,15,53,179,,,153,MPCB-KR
01-02-2009 00:00,15,48,156,,,137,MPCB-KR
01-03-2009 00:00,13,51,164,,,143,MPCB-KR
01-04-2009 00:00,8,37,135,,,123,MPCB-KR
01-07-2009 00:00,13,36,140,,,127,MPCB-KR
01-08-2009 00:00,10,30,135,,,123,MPCB-KR
01-10-2009 00:00,14,56,146,,,131,MPCB-KR
01-11-2009 00:00,14,47,136,,,124,MPCB-KR
01-12-2009 00:00,13,36,115,,,110,MPCB-KR
13-01-2009,19,69,164,,,143,MPCB-KR
14-01-2009,25,67,164,,,143,MPCB-KR
15-01-2009,23,65,182,,,155,MPCB-KR
16-01-2009,23,68,159,,,139,MPCB-KR
17-01-2009,16,41,161,,,141,MPCB-KR
18-01-2009,16,40,168,,,145,MPCB-KR
19-01-2009,22,68,190,,,160,MPCB-KR
20-01-2009,20,61,194,,,163,MPCB-KR
21-01-2009,20,61,191,,,161,MPCB-KR
22-01-2009,21,67,179,,,153,MPCB-KR
23-01-2009,21,71,195,,,163,MPCB-KR
24-01-2009,23,65,212,,,175,MPCB-KR
25-01-2009,25,35,168,,,145,MPCB-KR
26-01-2009,26,27,167,,,145,MPCB-KR
27-01-2009,24,40,162,,,141,MPCB-KR
29-01-2009,BDL - NA,30,174,,,149,MPCB-KR
30-01-2009,BDL - NA,30,200,,,167,MPCB-KR
02-01-2009 00:00,BDL - NA,16,140,,,127,MPCB-KR
02-02-2009 00:00,BDL - NA,20,133,,,122,MPCB-KR
02-03-2009 00:00,BDL - NA,17,128,,,119,MPCB-KR
02-04-2009 00:00,BDL - NA,18,141,,,127,MPCB-KR
02-05-2009 00:00,BDL - NA,18,136,,,124,MPCB-KR
02-06-2009 00:00,15,30,156,,,137,MPCB-KR
02-07-2009 00:00,13,41,181,,,154,MPCB-KR
02-08-2009 00:00,8,34,182,,,155,MPCB-KR
02-09-2009 00:00,12,23,169,,,146,MPCB-KR
02-10-2009 00:00,9,20,158,,,139,MPCB-KR
02-11-2009 00:00,10,19,146,,,131,MPCB-KR
02-12-2009 00:00,10,26,151,,,134,MPCB-KR
13-02-2009,10,16,123,,,115,MPCB-KR
14-02-2009,19,18,129,,,119,MPCB-KR
15-02-2009,21,32,155,,,137,MPCB-KR
16-02-2009,25,55,176,,,151,MPCB-KR
17-02-2009,22,31,189,,,159,MPCB-KR
18-02-2009,18,22,155,,,137,MPCB-KR
19-02-2009,21,43,162,,,141,MPCB-KR
20-02-2009,23,29,172,,,148,MPCB-KR
21-02-2009,25,39,187,,,158,MPCB-KR
22-02-2009,17,22,145,,,130,MPCB-KR
23-02-2009,19,23,132,,,121,MPCB-KR
24-02-2009,17,15,136,,,124,MPCB-KR
25-02-2009,18,27,135,,,123,MPCB-KR
26-02-2009,25,153,184,,,173,MPCB-KR
27-02-2009,23,38,167,,,145,MPCB-KR
03-03-2009 00:00,25,32,163,,,142,MPCB-KR
03-04-2009 00:00,23,24,148,,,132,MPCB-KR
03-05-2009 00:00,22,21,159,,,139,MPCB-KR
03-06-2009 00:00,24,25,190,,,160,MPCB-KR
03-07-2009 00:00,21,27,184,,,156,MPCB-KR
03-08-2009 00:00,24,22,174,,,149,MPCB-KR
03-10-2009 00:00,23,24,174,,,149,MPCB-KR
03-11-2009 00:00,21,22,106,,,104,MPCB-KR
13-03-2009,19,21,122,,,115,MPCB-KR
14-03-2009,16,21,97,,,97,MPCB-KR
15-03-2009,18,20,100,,,100,MPCB-KR
16-03-2009,21,33,146,,,131,MPCB-KR
17-03-2009,26,31,155,,,137,MPCB-KR
18-03-2009,26,20,163,,,142,MPCB-KR
19-03-2009,23,21,146,,,131,MPCB-KR
20-03-2009,19,22,101,,,101,MPCB-KR
23-03-2009,23,19,153,,,135,MPCB-KR
24-03-2009,23,19,173,,,149,MPCB-KR
25-03-2009,22,19,151,,,134,MPCB-KR
30-03-2009,26,23,165,,,143,MPCB-KR
31-03-2009,25,23,155,,,137,MPCB-KR
04-01-2009 00:00,20,20,150,,,133,MPCB-KR
04-02-2009 00:00,19,19,150,,,133,MPCB-KR
04-03-2009 00:00,19,19,138,,,125,MPCB-KR
04-04-2009 00:00,17,16,136,,,124,MPCB-KR
04-05-2009 00:00,17,18,138,,,125,MPCB-KR
04-06-2009 00:00,18,21,155,,,137,MPCB-KR
04-07-2009 00:00,22,20,161,,,141,MPCB-KR
04-08-2009 00:00,19,16,128,,,119,MPCB-KR
04-09-2009 00:00,22,21,119,,,113,MPCB-KR
04-10-2009 00:00,23,21,166,,,144,MPCB-KR
04-11-2009 00:00,23,25,138,,,125,MPCB-KR
04-12-2009 00:00,23,18,136,,,124,MPCB-KR
13-04-2009,21,22,127,,,118,MPCB-KR
14-04-2009,25,15,126,,,117,MPCB-KR
15-04-2009,23,18,107,,,105,MPCB-KR
16-04-2009,23,15,107,,,105,MPCB-KR
17-04-2009,22,15,131,,,121,MPCB-KR
18-04-2009,25,20,165,,,143,MPCB-KR
19-04-2009,20,13,137,,,125,MPCB-KR
21-04-2009,15,13,133,,,122,MPCB-KR
22-04-2009,18,15,160,,,140,MPCB-KR
23-04-2009,17,14,172,,,148,MPCB-KR
24-04-2009,22,18,184,,,156,MPCB-KR
25-04-2009,24,22,169,,,146,MPCB-KR
26-04-2009,24,19,155,,,137,MPCB-KR
27-04-2009,22,18,145,,,130,MPCB-KR
28-04-2009,18,16,126,,,117,MPCB-KR
29-04-2009,18,15,125,,,117,MPCB-KR
30-04-2009,20,17,108,,,105,MPCB-KR
05-01-2009 00:00,15,17,107,,,105,MPCB-KR
05-02-2009 00:00,19,14,110,,,107,MPCB-KR
05-03-2009 00:00,18,15,117,,,111,MPCB-KR
05-04-2009 00:00,19,18,112,,,108,MPCB-KR
05-05-2009 00:00,14,15,109,,,106,MPCB-KR
05-06-2009 00:00,17,14,114,,,109,MPCB-KR
05-07-2009 00:00,19,20,133,,,122,MPCB-KR
05-08-2009 00:00,21,18,139,,,126,MPCB-KR
05-09-2009 00:00,20,15,128,,,119,MPCB-KR
05-10-2009 00:00,20,16,102,,,101,MPCB-KR
05-11-2009 00:00,18,13,93,,,93,MPCB-KR
05-12-2009 00:00,18,17,104,,,103,MPCB-KR
13-05-2009,14,14,122,,,115,MPCB-KR
14-05-2009,13,16,110,,,107,MPCB-KR
16-05-2009,13,16,101,,,101,MPCB-KR
17-05-2009,13,15,107,,,105,MPCB-KR
19-05-2009,16,15,100,,,100,MPCB-KR
